GEX historical data for SPY
Retrieved,Price,Gex Value At Next Exp,GEX Flip Price,Put Skew,Skew Adj GEX,IV,Avg Volume,Gex/Vol,PCR (OI),Rating
2024-01-03 15:48:01,469.03,-501566441.686364,471.73,-0.010123060495215996,228746640.21247706,0.12318267361111111,75837554,0.001,1.82,3
2024-01-03 09:38:54,470.24,-1189671516.684032,471.89,-0.002009652122762967,221046729.00777626,0.12295781746031746,74184591,0.001,1.79,3
2024-01-02 15:47:03,470.915,-537462025.0678823,472.5,-0.015927443639342953,127475775.37620185,0.11784306051587301,74184591,0.001,1.87,3
2024-01-02 09:40:40,472.08,-1505485187.2851837,473.36,-0.017588132602768453,133563364.61056241,0.12350580853174603,77275066,0.001,1.84,3
2023-12-29 15:50:17,475.245,108888308.79115275,472.44,-0.026432510140076526,-341891559.7661328,0.1082450744047619,77275066,-0.002,1.89,5
2023-12-29 09:39:39,476.88,5749184974.934016,473.43,-0.028584214700830085,-1262130369.1728048,0.10896348214285714,45442634,-0.012,1.91,4
2023-12-28 15:49:06,477.04,6804674579.7457285,471.95,-0.032051712359278145,-1252242399.4183125,0.1081432638888889,45442634,-0.012,1.97,4
2023-12-28 09:40:11,477.155,-155983716.86546776,473.67,-0.027794411307881434,-1154084704.4539335,0.10759650793650793,47692416,-0.011,1.97,4
2023-12-27 15:48:42,475.31,-275700979.100635,471.38,-0.03468573942204892,-875570383.2276024,0.10805343253968253,47692416,-0.008,1.96,4
2023-12-27 09:38:11,475.8491,476237080.757127,472.85,-0.030914328866301022,-922799464.0485902,0.11325824404761904,36518740,-0.011,1.94,4
2023-12-26 15:48:29,476.11,1092737137.1612601,470.36,-0.027916428252695247,-1180164982.6848226,0.11247782242063492,36518740,-0.014,1.9,4
2023-12-26 09:39:26,474.62,853938076.5158521,471.44,-0.027575191834553703,-948289208.7629083,0.11939132440476188,51661992,-0.008,1.89,4
2023-12-22 15:48:25,473.426,490443789.43120843,468.61,-0.019454962978237483,-430642509.3804625,0.11425916666666668,51661992,-0.004,1.89,4
2023-12-22 09:39:38,474.655,4732668628.897238,470.56,-0.026636693519699994,-1478709215.661691,0.11790399305555556,62624817,-0.01,1.94,4
2023-12-21 15:48:08,472.4,1692860479.008,469.19,-0.018659072992378373,-441411818.92710394,0.11547903273809523,62624817,-0.003,1.97,4
2023-12-21 09:38:48,471.87,1281215368.49229,469.36,-0.021231996946542736,-828243045.4421234,0.11628241071428572,71080017,-0.005,1.92,4
2023-12-20 15:50:00,469.35,-619030900.3788,468.74,-0.020156977388984726,-120802489.74208802,0.1148993501984127,71080017,-0.001,1.94,5
2023-12-20 09:39:02,474.23,-21396423.998506002,470.59,-0.04196832561171543,-1170586336.3689978,0.10880850198412698,43009195,-0.012,1.92,4
2023-12-19 15:52:32,474.255,860652479.284263,468.64,-0.03470745988980417,-1371892179.547162,0.10748977678571428,43009195,-0.014,1.94,4
2023-12-19 09:38:25,473.03,850128129.9747969,469.53,-0.03592965317634855,-1193966788.8967814,0.1093028720238095,46512218,-0.011,1.92,4
2023-12-18 15:46:19,472.34,565783316.4678199,466.52,-0.036557778512041034,-1230882247.7728622,0.10672892361111111,46512218,-0.012,1.82,4
2023-12-18 09:38:39,471.35,1312856267.73345,467.88,-0.0345182181083101,-1190052678.62151,0.10693368055555555,94033669,-0.006,1.81,4
2023-12-15 15:46:37,469.12,-59003926.03238401,465.95,-0.03323217613764207,-528056319.3552692,0.10275501984126983,94033669,-0.003,1.93,5
2023-12-15 09:39:52,469.33,-1431210743.934239,468.22,-0.03227757955798477,-356459310.3635809,0.1035653273809524,83278772,-0.002,2.61,5
2023-12-14 15:46:30,471.44,6462345971.614849,460.86,-0.04624983190163201,-1683430970.7439413,0.10234251984126984,83278772,-0.009,1.99,4
2023-12-14 09:38:29,472.55,2373204866.554275,461.79,-0.05361509722294833,-3382504140.20361,0.1054698115079365,71385689,-0.021,1.94,4
2023-12-13 15:47:57,469.7492,1558291644.0043573,459.06,-0.04816364193519951,-1553446120.5341525,0.103685625,71385689,-0.01,1.95,4
2023-12-13 09:39:51,464.72,581184705.6890241,459.74,-0.03618757677936965,-1078233060.5029645,0.1048043998015873,50520369,-0.01,1.95,5
